Event;Start Date;End Date;Duration;Day of Week;Duration Bins;Year;Month;;
entrevista para ciudadania italiana;4/1/2023 18:30;4/1/2023 19:30;60.0;Wednesday;(30, 60];2023;January;;
comprar entradas ;9/1/2023 12:00;9/1/2023 13:00;60.0;Monday;(30, 60];2023;January;;
FEDERICO JAVIER / VANESA;9/1/2023 19:30;9/1/2023 20:00;30.0;Monday;(0, 30];2023;January;;
planif;10/1/2023 17:00;10/1/2023 18:00;60.0;Tuesday;(30, 60];2023;January;;
Revision Herramienta Recomendaciones;11/1/2023 15:00;11/1/2023 16:00;60.0;Wednesday;(30, 60];2023;January;;
Planning 2023;12/1/2023 14:00;12/1/2023 15:00;60.0;Thursday;(30, 60];2023;January;;
Resolución de dudas - Informes Herramienta;16/1/2023 15:00;16/1/2023 16:00;60.0;Monday;(30, 60];2023;January;;
Planning AVAI re agendada;16/1/2023 19:00;16/1/2023 19:30;30.0;Monday;(0, 30];2023;January;;
🙋❓ Q&A E2E Documento de Análisis ;17/1/2023 14:00;17/1/2023 15:00;60.0;Tuesday;(30, 60];2023;January;;
Steerco IFRS9 ;31/1/2023 17:00;31/1/2023 18:00;60.0;Tuesday;(30, 60];2023;January;;
comprar plateas boca;1/2/2023 16:45;1/2/2023 17:15;30.0;Wednesday;(0, 30];2023;February;;
Convocatoria RMC 13-01-2023 13hs;13/1/2023 13:00;13/1/2023 14:30;90.0;Friday;(60, 90];2023;January;;
Planificacion;1/2/2023 17:45;1/2/2023 19:30;105.0;Wednesday;(90, 120];2023;February;;
Almuerzo Equipo CIR - Piso 33;31/1/2023 16:00;31/1/2023 17:45;105.0;Tuesday;(90, 120];2023;January;;
Regular Global IV CoP;12/1/2023 16:00;12/1/2023 17:30;90.0;Thursday;(60, 90];2023;January;;
Regular Global IV CoP;26/1/2023 16:00;26/1/2023 17:30;90.0;Thursday;(60, 90];2023;January;;
reunion posgrado;7/2/2023 22:00;7/2/2023 23:00;60.0;Tuesday;(30, 60];2023;February;;
turno vtv;10/2/2023 13:45;10/2/2023 14:45;60.0;Friday;(30, 60];2023;February;;
ocupado;14/2/2023 13:00;14/2/2023 14:00;60.0;Tuesday;(30, 60];2023;February;;
ocupado;14/2/2023 15:00;14/2/2023 16:00;60.0;Tuesday;(30, 60];2023;February;;
Explorando millones de datos de forma rápida e interactiva con SAS® Visual Analytics;28/2/2023 18:30;28/2/2023 20:30;120.0;Tuesday;(90, 120];2023;February;;
Copiar NB en Datio;17/2/2023 13:00;17/2/2023 14:00;60.0;Friday;(30, 60];2023;February;;
Retro AA y VI;17/2/2023 14:00;17/2/2023 15:30;90.0;Friday;(60, 90];2023;February;;
PD y LGD debilidades detectadas;27/2/2023 18:00;27/2/2023 19:00;60.0;Monday;(30, 60];2023;February;;
IFRS9 Vinc;2/3/2023 14:30;2/3/2023 15:00;30.0;Thursday;(0, 30];2023;March;;
sacar entradas boca;3/3/2023 16:30;3/3/2023 17:30;60.0;Friday;(30, 60];2023;March;;
CoP Retail Credit Risk - Financial Health/Salud Financiera;27/2/2023 16:30;27/2/2023 17:30;60.0;Monday;(30, 60];2023;February;;
Fecha RMMC Vinculadas;7/3/2023 13:30;7/3/2023 14:00;30.0;Tuesday;(0, 30];2023;March;;
Planning AVAI;13/1/2023 11:30;13/1/2023 12:30;60.0;Friday;(30, 60];2023;January;;
Planning AVAI;27/1/2023 15:00;27/1/2023 16:00;60.0;Friday;(30, 60];2023;January;;
Planning AVAI;24/2/2023 12:00;24/2/2023 13:00;60.0;Friday;(30, 60];2023;February;;
Planning AVAI;26/1/2023 12:00;26/1/2023 13:00;60.0;Thursday;(30, 60];2023;January;;
Comparacion de Notebooks;7/3/2023 14:15;7/3/2023 14:45;30.0;Tuesday;(0, 30];2023;March;;
Steerco IFRS9 ;8/3/2023 15:30;8/3/2023 16:30;60.0;Wednesday;(30, 60];2023;March;;
traumatologo tobillo;15/3/2023 17:30;15/3/2023 18:30;60.0;Wednesday;(30, 60];2023;March;;
turno faltas lomas;22/3/2023 12:00;22/3/2023 12:30;30.0;Wednesday;(0, 30];2023;March;;
renovacion registro ;29/3/2023 12:00;29/3/2023 13:00;60.0;Wednesday;(30, 60];2023;March;;
turno tomografia tobillo;16/3/2023 15:00;16/3/2023 16:00;60.0;Thursday;(30, 60];2023;March;;
StD - All Hands GRM DATA&AA ;17/4/2023 14:00;17/4/2023 15:30;90.0;Monday;(60, 90];2023;April;;
turno tomografia;17/3/2023 13:30;17/3/2023 14:30;60.0;Friday;(30, 60];2023;March;;
Turno Batista;22/3/2023 17:15;22/3/2023 17:45;30.0;Wednesday;(0, 30];2023;March;;
Turno traumatólogo hombro;3/4/2023 13:00;3/4/2023 14:00;60.0;Monday;(30, 60];2023;April;;
Turno odontologia centro;30/3/2023 11:45;30/3/2023 12:45;60.0;Thursday;(30, 60];2023;March;;
Feedback Fede;21/3/2023 14:30;21/3/2023 15:15;45.0;Tuesday;(30, 60];2023;March;;
Planning IFRS9;28/3/2023 14:00;28/3/2023 15:00;60.0;Tuesday;(30, 60];2023;March;;
Turno Batista;29/3/2023 17:30;29/3/2023 18:30;60.0;Wednesday;(30, 60];2023;March;;
Versionado note;30/3/2023 14:00;30/3/2023 14:30;30.0;Thursday;(0, 30];2023;March;;
Generación de modelos con SAS Guide y SAS Miner;30/3/2023 18:00;30/3/2023 20:00;120.0;Thursday;(90, 120];2023;March;;
Actualizacion temas VI;10/4/2023 15:15;10/4/2023 15:45;30.0;Monday;(0, 30];2023;April;;
Daily y Punto de control Planning;7/3/2023 09:30;7/3/2023 10:00;30.0;Tuesday;(0, 30];2023;March;;
Daily y Punto de control Planning;21/3/2023 09:30;21/3/2023 10:00;30.0;Tuesday;(0, 30];2023;March;;
Daily y Punto de control Planning;4/4/2023 09:30;4/4/2023 10:00;30.0;Tuesday;(0, 30];2023;April;;
Turno Tobillo;26/4/2023 17:00;26/4/2023 17:30;30.0;Wednesday;(0, 30];2023;April;;
All-hands Regulation & Internal Control - Proceso SOX;25/4/2023 15:00;25/4/2023 16:30;90.0;Tuesday;(60, 90];2023;April;;
temas vane;13/4/2023 18:15;13/4/2023 18:45;30.0;Thursday;(0, 30];2023;April;;
Dentista ;21/4/2023 13:00;21/4/2023 13:30;30.0;Friday;(0, 30];2023;April;;
Reserva boca;14/4/2023 15:30;14/4/2023 16:30;60.0;Friday;(30, 60];2023;April;;
Controles SOX;14/4/2023 18:00;14/4/2023 19:00;60.0;Friday;(30, 60];2023;April;;
